KABUPATEN,JENIS SEKOLAH,NAMA SEKOLAH,S1,S2,S3,S4,S5,S6,S7,S8,AKREDITASI
KABUPATEN BONE,NEGERI,SMKN 3 WATAMPONE,91,84,67,64,78,72,81,85,B
KABUPATEN JENEPONTO,NEGERI,SMKN 1 JENEPONTO,84,84,88,74,76,67,77,91,B
KABUPATEN TORAJA UTARA,NEGERI,SMKN 1 KESU TORAJA UTARA,91,90,89,90,93,91,89,91,A
KABUPATEN GOWA,NEGERI,SMKN 1 LIMBUNG,93,89,88,90,95,91,94,93,A
KOTA  PALOPO ,NEGERI,SMKN 1 PALOPO,88,85,84,93,90,89,93,92,A
KABUPATEN GOWA,NEGERI,SMKN 21 SOMBA OPU,79,81,83,86,87,84,92,84,B
KABUPATEN BARRU,NEGERI,SMKN 2 BARRU,82,84,66,76,87,83,89,92,B
KOTA MAKASSAR,NEGERI,SMKN 2 MAKASSAR,89,87,87,87,83,83,89,88,A
KABUPATEN GOWA,NEGERI,SMKN 2 SOMBA OPU,91,90,95,90,94,92,91,90,A
KOTA MAKASSAR,NEGERI,SMKN 8 MAKASSAR,89,90,90,89,88,87,93,88,A
KABUPATEN GOWA,NEGERI,SMKN 11 LIMBUNG,89,78,77,83,80,82,80,83,B
KABUPATEN BONE,NEGERI,SMKN 1 MARE,95,98,92,66,56,76,79,88,B
KABUPATEN ENREKANG,NEGERI,SMKN 2 ENREKANG,86,85,87,78,84,69,91,84,B
KABUPATEN GOWA,NEGERI,SMKN 2 SOMBA OPU ,91,86,85,79,94,88,84,90,A
KABUPATEN BULUKUMBA ,NEGERI,SMKN 4 BULUKUMBA,79,78,75,61,75,78,84,77,B
KOTA MAKASSAR,NEGERI,SMKN 9 MAKASSAR,74,81,80,79,82,79,83,82,B
KABUPATEN LUWU,NEGERI,SMKN 1 BABANG,49,56,70,61,48,42,76,85,TT
KABUPATEN LUWU,NEGERI,SMKN 1 BAJO,75,69,77,60,63,69,87,78,B
KABUPATEN BANTAENG,NEGERI,SMKN 1 BANTAENG  ,94,92,92,94,95,95,98,92,A
KABUPATEN BONE,NEGERI,SMKN 1 BAREBBO,88,73,90,72,73,76,89,89,B
KABUPATEN LUWU,NEGERI,SMKN 1 BELOPA,78,75,90,72,70,74,92,84,B
KABUPATEN KEPULAUAN SELAYAR,NEGERI,SMKN 1 BONTOMANAI,79,80,87,69,73,66,90,71,B
KABUPATEN LUWU,NEGERI,SMKN 1 BUA,49,52,70,61,48,42,76,85,TT
KABUPATEN TAKALAR,NEGERI,SMKN 1 GALESONG SELATAN,87,83,80,80,84,80,92,82,B
KABUPATEN TORAJA UTARA,NEGERI,SMKN 1 KESU,83,84,85,89,87,92,92,87,A
KABUPATEN BONE,NEGERI,SMKN 1 LIBURENG,89,97,82,87,91,84,98,87,A
KABUPATEN LUWU TIMUR,NEGERI,SMKN 1 MALILI,83,87,91,69,66,78,95,80,B
KABUPATEN LUWU UTARA,NEGERI,SMKN 1 MASAMBA,86,87,84,85,82,85,83,88,B
KABUPATEN PANGKEP,NEGERI,SMKN 1 MINASATENE ,81,81,79,78,80,80,88,80,B
KOTA  PALOPO ,NEGERI,SMKN 1 PALOPO,68,47,59,67,62,36,74,51,TT
KABUPATEN PINRANG,NEGERI,SMKN 1 PINRANG ,97,95,95,93,94,93,98,95,A
KABUPATEN WAJO,NEGERI,SMKN 1 SABBANGPARU,80,79,57,58,78,69,77,85,B
KABUPATEN GOWA,NEGERI,SMKN 1 SOMBA OPU,84,74,75,79,83,81,93,79,B
KABUPATEN LUWU,NEGERI,SMKN 1 TERPADU PONRANG SELATAN,81,69,85,67,68,58,94,69,B
KABUPATEN BONE,NEGERI,SMKN 1BAREBBO,90,74,86,73,75,75,89,87,B
KABUPATEN LUWU,NEGERI,SMKN 2 BELOPA,71,77,60,70,74,62,90,73,B
KABUPATEN BULUKUMBA ,NEGERI,SMKN 2 BULUKUMBA,82,80,82,80,84,78,96,83,B
KOTA MAKASSAR,NEGERI,SMKN 2 MAKASSAR,94,93,92,95,95,93,98,94,A
KOTA  PALOPO ,NEGERI,SMKN 2 PALOPO,85,87,88,86,78,77,85,95,B
KOTA PAREPARE,NEGERI,SMKN 2 PARE - PARE,81,80,84,85,86,86,92,85,B
KABUPATEN SINJAI,NEGERI,SMKN 2 SINJAI,75,73,65,65,69,68,77,75,B
